,,Steve,Pyra/Mythra,Joker,R.O.B.,Sonic,Roy,Kazuya,Wolf,Palutena,Fox,PAC-MAN,Pikachu,Cloud,Peach/Daisy,Mr. Game & Watch,Snake,Shulk,Min Min,Pokémon Trainer,Diddy Kong,Lucina,Wario,Samus/Dark Samus,Mario,Young Link,Zero Suit Samus,Sephiroth,Yoshi,Terry,Olimar,Greninja,Byleth,Mii Brawler,Sora,Ness,Ryu,Sheik,Falco,Mega Man,Ken,Inkling,Bayonetta,Captain Falcon,Luigi,Chrom,Corrin,Rosalina & Luma,Hero,Link,Bowser,Pichu,Wii Fit Trainer,Lucas,Toon Link,Incineroar,Ice Climbers,Marth,Meta Knight,Jigglypuff,Pit,Dark Pit,Robin,Mewtwo,Ridley,Ike,Simon/Richter,Mii Gunner,Duck Hunt,Donkey Kong,Villager,Bowser Jr.,Banjo & Kazooie,Dr. Mario,Lucario,Isabelle,Kirby,King K. Rool,Zelda,Piranha Plant,Mii Swordfighter,King Dedede,Little Mac,Ganondorf,Squirtle,Ivysaur,Charizard,Pyra,Mythra,Best Matchup,,Worst Matchup,
Diddy Kong,,-0.9,0.4,0.4,0.9,-0.6,0.4,1.4,-0.6,1.1,-0.8,-1.5,-0.8,0.4,0.3,0.6,-0.8,0.7,0.9,1.1,-,1.2,-0.5,-0.5,-0.7,-0.3,1.6,1.3,0.5,0.7,-1.2,1.1,1.1,0.3,1.0,0.4,0.4,0.0,1.1,-0.6,0.9,0.5,1.0,0.8,0.0,0.8,1.0,0.0,0.4,-0.6,1.1,-0.2,0.3,0.6,-0.4,1.8,-0.4,1.0,1.4,1.2,1.2,1.2,0.7,1.3,1.6,1.0,0.2,-0.5,-1.7,1.7,-0.6,1.2,0.4,0.0,-0.1,-0.3,1.1,1.6,1.1,1.2,1.3,1.8,1.1,1.9,-,-,-,0.0,0.0,,1.88,,-1.69
Lucina,,-0.5,-0.7,-0.9,0.1,-1.4,-0.1,-0.3,-0.1,-0.1,0.4,0.1,-0.8,-0.1,0.3,-0.1,0.5,-0.2,-0.8,-0.3,-1.2,-,0.7,0.0,0.7,0.6,-0.6,-0.6,0.8,0.4,0.3,-1.2,0.5,0.2,-0.5,1.7,0.7,-1.0,0.8,-0.1,1.0,-1.1,0.1,0.5,0.6,0.3,0.8,-0.2,0.4,1.6,0.7,0.3,1.2,0.4,1.1,1.2,-1.0,0.0,0.5,1.2,0.8,0.8,1.0,0.5,-0.3,0.4,-0.3,-0.3,1.0,0.9,1.5,0.8,0.8,1.8,1.1,1.8,1.5,0.8,0.2,1.2,0.5,-0.2,1.5,1.7,-,-,-,-,-,,1.83,,-1.38
Wario,,-1.2,-1.2,-0.7,0.5,-1.2,-0.2,-0.3,-0.4,-0.5,0.3,-0.1,-0.9,-0.8,-0.2,-1.1,-0.2,-0.5,0.7,-0.2,0.5,-0.7,-,-0.5,-0.5,-0.2,-1.0,-0.3,-0.4,0.0,-1.6,0.7,-0.3,0.3,-0.4,0.1,0.3,0.3,0.4,0.3,0.1,0.8,0.0,1.3,-0.3,0.4,-0.3,0.2,0.2,0.1,1.4,0.0,0.8,0.6,0.4,1.2,-0.8,-0.4,0.7,0.4,0.7,0.7,0.8,0.8,0.8,0.0,0.8,0.3,0.2,1.5,0.2,0.9,0.9,0.7,1.9,0.3,0.7,2.0,0.7,0.8,0.8,1.3,1.1,1.2,-,-,-,1.0,0.0,,1.97,,-1.57
Samus/Dark Samus,,-1.2,-1.0,-0.6,0.0,-0.1,-0.7,0.9,-0.9,-0.3,-1.2,0.1,0.1,-0.6,0.8,-0.9,0.0,0.2,-1.4,1.0,0.5,0.0,0.5,-,0.1,-0.3,-0.9,-0.7,1.0,0.4,-2.3,-0.8,0.9,0.2,0.9,-0.1,0.9,-0.6,-1.1,0.4,0.6,0.6,-1.1,0.0,1.8,0.3,1.1,-0.8,-0.5,0.1,1.0,1.4,0.8,0.8,0.0,1.7,0.9,0.4,-0.3,0.4,0.1,0.1,0.8,-0.7,1.5,0.8,0.0,-0.7,-1.7,1.7,-0.7,1.2,0.0,1.0,0.5,0.0,1.9,1.3,0.0,1.7,0.3,1.7,1.9,1.8,2.0,2.0,2.0,2.0,0.0,,2.00,,-2.34
Mario,,-0.5,-0.7,-0.5,0.9,-0.6,-0.1,-0.7,0.2,-0.5,0.6,0.7,0.7,-0.8,-0.3,-0.9,-0.2,-1.3,-0.2,0.5,0.7,-0.7,0.5,-0.1,-,-0.1,-0.6,-0.7,-0.1,-0.1,0.8,-0.2,0.0,0.1,-0.2,0.2,0.4,0.5,0.6,0.6,0.3,0.6,0.0,0.5,0.1,0.1,-0.6,-0.2,0.3,0.0,1.0,0.7,0.9,0.3,0.4,0.9,-1.3,-0.6,0.7,0.8,0.0,0.0,0.9,0.4,0.4,0.6,0.6,0.8,0.0,1.3,0.7,1.0,1.1,0.0,1.1,1.4,0.6,2.0,0.2,1.0,1.3,1.1,0.5,1.3,-,-,-,-,-,,2.00,,-1.29
Young Link,,0.0,-1.5,-0.7,0.7,-0.1,-0.6,0.6,-1.3,-0.6,-0.5,-0.4,-0.9,-0.9,0.6,-0.2,0.1,-1.4,-0.3,1.2,0.3,-0.6,0.2,0.3,0.1,-,0.1,-0.5,0.1,0.0,-0.3,0.2,0.6,0.2,0.6,0.0,0.0,0.9,0.2,0.3,0.1,0.3,0.6,0.4,0.6,-0.7,0.6,0.3,-0.2,-0.8,1.1,0.2,1.0,0.4,0.6,1.5,1.3,0.0,0.8,0.9,0.5,0.5,1.0,0.9,1.8,0.5,0.5,0.5,0.0,1.6,0.4,1.1,0.5,0.5,0.3,0.9,1.5,1.4,0.5,1.5,0.5,1.5,1.5,1.7,-,-,-,-3.0,-3.0,,1.76,,-3.00
Zero Suit Samus,,0.9,-1.3,-0.9,0.8,0.0,-1.2,0.1,-1.2,0.0,-1.0,0.3,-1.0,-0.6,0.6,1.1,0.5,-1.2,0.8,-0.7,-1.6,0.6,1.0,0.9,0.6,-0.1,-,0.1,0.5,0.8,-0.9,0.1,1.3,0.2,1.1,1.1,0.9,-0.6,0.6,1.3,0.5,-0.6,-0.2,0.7,1.7,-0.7,1.1,0.9,1.0,0.1,1.1,-0.4,1.1,1.9,1.2,1.5,1.8,1.3,1.5,1.4,1.1,1.0,1.5,1.2,1.2,0.8,2.2,1.3,0.7,1.4,0.9,1.7,0.5,1.1,1.1,1.7,0.8,1.3,2.1,0.8,1.8,1.5,1.2,1.8,-1.3,1.3,1.5,-0.8,-1.0,,2.19,,-1.58
Sephiroth,,1.0,-0.5,-1.0,-0.1,-0.2,-0.3,0.6,-0.7,0.3,-1.0,0.8,-0.9,-0.3,0.8,-0.1,0.2,-0.1,-0.8,0.0,-1.3,0.6,0.3,0.7,0.7,0.5,-0.1,-,1.0,0.8,0.5,-1.1,0.1,0.2,0.6,1.3,0.8,-1.4,0.9,0.0,0.5,-0.4,0.3,0.2,1.8,0.5,1.4,1.5,0.3,0.6,0.4,-0.4,1.1,1.5,0.9,1.0,1.9,1.0,0.2,0.9,0.2,0.2,0.8,0.7,1.4,0.8,0.8,1.4,0.5,1.4,1.1,1.2,1.0,1.4,0.9,1.5,0.5,1.5,0.2,1.5,1.3,1.4,0.9,1.7,0.0,1.0,1.0,0.2,-1.5,,1.86,,-1.50
Yoshi,,0.2,-1.1,-0.6,0.5,-0.7,-0.8,0.1,-0.8,-1.3,0.2,-0.2,-0.1,-0.8,0.3,0.1,0.0,-1.2,0.3,-0.3,-0.5,-0.8,0.4,-1.0,0.1,-0.1,-0.5,-1.0,-,-0.2,0.1,-0.4,0.0,0.5,-0.1,0.2,0.1,0.9,0.2,0.3,0.4,1.3,0.3,0.2,0.1,-0.6,-0.3,-0.1,0.2,-0.5,0.1,1.5,0.1,1.0,0.1,0.8,0.5,0.0,0.9,1.5,-0.4,-0.4,-0.3,0.4,0.6,-0.6,1.6,0.3,-0.1,1.1,0.3,0.7,0.7,0.5,0.6,0.7,1.5,1.0,0.6,-0.1,0.3,1.4,0.8,1.1,0.5,1.0,0.5,-0.5,-1.5,,1.56,,-1.50
Terry,,-0.2,-0.8,-0.6,-0.1,-0.3,-0.5,-0.8,-0.2,-0.3,0.7,-0.2,-0.4,-0.6,0.0,-0.2,-0.4,-0.9,-0.8,-0.3,-0.7,-0.4,0.0,-0.4,0.1,0.0,-0.8,-0.8,0.2,0.0,1.1,0.0,-0.7,0.2,-0.1,-0.2,0.2,0.2,0.2,0.2,-0.4,-0.4,0.0,0.2,0.0,-0.7,0.0,-0.4,-0.1,-0.2,-0.3,0.0,0.2,-0.1,-0.1,0.4,0.2,0.1,0.0,0.8,0.0,0.0,0.3,0.3,-0.2,-0.1,-0.1,0.1,-0.1,0.6,0.3,0.5,0.5,0.6,0.8,0.9,-0.1,0.8,0.1,0.5,0.0,0.7,0.2,0.4,-,-,-,0.0,0.0,,1.06,,-0.94
Olimar,,0.1,-0.6,-0.1,-1.0,-0.8,0.1,-0.5,-0.9,0.3,-1.2,-0.5,0.4,-1.7,-0.5,0.2,0.4,-0.6,-0.6,0.7,1.2,-0.3,1.6,2.3,-0.8,0.3,0.9,-0.5,-0.1,-1.1,-,-0.3,0.3,-0.2,0.3,0.2,-0.8,1.2,1.3,0.5,-0.7,1.6,0.8,0.4,0.3,-0.6,-0.4,-0.4,-0.6,-0.7,0.0,0.9,1.0,0.9,0.2,0.2,-0.8,0.8,0.5,1.0,0.8,0.8,2.2,0.3,0.3,-0.1,-1.0,0.9,0.5,1.1,0.8,1.4,2.1,0.8,0.8,0.6,0.9,1.5,-1.0,0.6,-0.6,1.3,1.0,1.7,-,-,-,-,-,,2.34,,-1.70
Greninja,,-0.2,-0.3,-0.3,0.1,-0.7,0.4,1.0,-0.3,0.4,-0.4,0.2,-0.5,0.3,-0.3,0.2,-0.7,0.3,1.4,0.0,-1.1,1.2,-0.7,0.8,0.2,-0.2,-0.1,1.1,0.4,0.0,0.3,-,0.6,0.6,0.9,0.6,0.1,0.0,1.4,0.5,0.2,0.2,-0.8,0.3,0.6,0.8,1.0,0.2,1.0,0.5,1.3,-0.2,1.0,1.2,0.6,0.8,1.9,1.1,1.1,0.8,1.3,1.4,1.4,1.1,1.3,0.6,1.7,1.1,0.8,1.5,1.3,1.0,1.3,0.7,0.8,1.5,1.5,1.6,1.7,1.5,1.9,1.4,1.3,1.8,0.3,1.3,1.6,0.6,-0.1,,1.90,,-1.13
